STT,ID,Ho,Ten,Gioi tinh,Ngay sinh,CCCD
1,22140011,Nguyen,Trung Dung,Nam,2/22/2004,11221122
2,22140012,Bui,Thanh Duc,Nam,7/27/2004,33441111
3,22140013,Doan,Ngoc Hao,Nam,5/26/2004,99998888
4,22140031,Ngo,Ngoc Hung,Nam,12/24/2004,2353104
5,22140032,Luu ,Hoang Bao,Nam,10/29/2004,9968211
6,22140033,Hoang,Duc Hai,Nam,5/17/2004,7110959
7,22140034,Phan ,Dieu Huyen,Nu,7/6/2004,80003465
8,22140035,Do,Van Cuong,Nam,2/1/2004,68476360
9,22140036,Nguyen ,Ngoc Cuong,Nam,12/6/2004,86108371
10,22140037,Tran,Van Duy,Nam,9/30/2004,82153568
11,22140038,Hoang,Thanh Binh,Nam,10/22/2004,89064904
12,22140039,Truong,Van Binh,Nam,12/11/2004,38613113
13,22140040,Nguyen ,Ngoc Binh,Nam,6/9/2004,29083851
14,22140041,Pham,Van Dat,Nam,1/5/2004,59006204
15,22140042,Hoang,Phan Thanh Dat,Nam,4/23/2004,75789920
16,22140043,Tran ,Thanh Dat,Nam,4/23/2004,81906520
17,22140044,Luong,Van Son,Nam,9/5/2004,19219061
18,22140045,Nguyen ,Gia Bao,Nam,12/30/2004,79319923
19,22140046,Phan ,Van Khai,Nam,6/26/2004,23600163
20,22140047,Tran ,Duc Toan,Nam,10/27/2004,95538010
21,22140048,Do ,Nhat Duy,Nam,3/9/2004,35322582
22,22140049,Nguyen,Thanh Dat,Nam,5/30/2004,73735012
23,22140050,Truong ,Van Long,Nam,4/10/2004,22363498
24,22140051,Nguyen,Thi Yen Nhi,Nu,9/25/2004,94310525
25,22140052,Phan ,Thi Bich Tram,Nu,2/29/2004,12447264
26,22140053,Tran,Thanh Thao,Nu,7/10/2004,54412655
27,22140054,Ho ,Xuan Son,Nam,9/19/2004,57525391
28,22140055,Cao ,Quang Tuan Anh,Nam,8/3/2004,3378762
29,22140056,Do,Dinh Duc Anh,Nam,4/25/2004,7906403
30,22140057,Bui ,Ngoc  Bich,Nu,6/13/2004,43272919
31,22140058,Do,Thi Linh Chi,Nu,2/13/2004,55345672
32,22140059,Vo,Tuan Anh,Nam,5/6/2004,188152
33,22140060,Bui ,Tuan Tai,Nam,8/25/2004,43710767
34,22140061,Nguyen,Thanh Dat,Nam,6/3/2004,11390801
35,22140062,Tran ,Thi Ha Linh,Nu,7/19/2004,2338839
36,22140063,Nguyen,Manh Dat,Nam,5/7/2004,24196177
37,22140064,Tran,Tuan Khang,Nam,4/18/2004,90207782
38,22140065,Le,Diem My,Nu,4/24/2004,48632293
39,22140066,Pham,Thi Anh Nhi,Nu,8/23/2004,57231679
